date,station_id,actual_snow_mm,actual_category,forecast_probability,ensemble_score,regional_score,global_score,event_type,lead_time,primary_driver,forecast_hit
2020-04-12,phelps_wi,5.46,trace,70,0.5628,0.8039999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2002-12-23,eagle_river_wi,7.0,trace,70,0.5331867504283266,0.711764705882353,0.11650485436893203,ALBERTA CLIPPER,12-48 hours,Regional,True
2021-01-16,eagle_river_wi,11.200000000000001,trace,70,0.504,0.72,0.0,LAKE EFFECT,12-48 hours,Regional,True
2001-01-14,eagle_river_wi,32.9,significant,85,0.7,1.0,0.0,LAKE EFFECT,12-48 hours,Regional,True
2003-10-01,eagle_river_wi,15.4,trace,40,0.21,0.3,0.0,QUIET,12-48 hours,Regional,True
2008-11-15,eagle_river_wi,12.6,trace,70,0.47541666666666665,0.6791666666666667,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2007-04-04,eagle_river_wi,50.4,major,70,0.5804379562043793,0.8291970802919706,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2003-12-10,phelps_wi,9.52,trace,70,0.46199999999999997,0.66,0.0,LAKE EFFECT,12-48 hours,Regional,True
2003-04-16,eagle_river_wi,7.7,trace,70,0.5091201456310679,0.6794642857142856,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
2000-12-06,eagle_river_wi,7.0,trace,55,0.32999999999999996,0.4714285714285714,0.0,LAKE EFFECT,12-48 hours,Regional,True
2011-12-25,eagle_river_wi,10.5,trace,40,0.2434951456310679,0.29999999999999993,0.11165048543689321,QUIET,12-48 hours,Regional,True
2014-11-11,phelps_wi,11.76,trace,70,0.5454951456310679,0.7314285714285714,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2011-01-22,eagle_river_wi,6.3,trace,55,0.2975,0.42500000000000004,0.0,QUIET,12-48 hours,Regional,True
2006-01-29,phelps_wi,7.49,trace,70,0.46199999999999997,0.66,0.0,LAKE EFFECT,12-48 hours,Regional,True
2024-11-25,eagle_river_wi,37.8,significant,70,0.5645296283896887,0.7586206896551725,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
